22/02/2008 10:32:49
108,7000000000	0,0007275843	0,0003592833	1200,0000000000
107,8000000000	0,0007276477	0,0003502174	1200,0000000000
106,6000000000	0,0007254940	0,0003435293	1188,0000000000
105,5000000000	0,0007259374	0,0003353102	1176,0000000000
104,3000000000	0,0007260957	0,0003307231	1164,0000000000
103,1000000000	0,0007234986	0,0003325511	1152,0000000000
101,8000000000	0,0007237942	0,0003404552	1140,0000000000
100,7000000000	0,0007273521	0,0003446591	1128,0000000000
99,4000000000	0,0007325885	0,0003432243	1116,0000000000
98,3000000000	0,0007359775	0,0003495693	1104,0000000000
97,1000000000	0,0007292418	0,0003508876	1092,0000000000
95,8000000000	0,0007245544	0,0003392111	1080,0000000000
94,6000000000	0,0007318390	0,0003367811	1068,0000000000
93,5000000000	0,0007301076	0,0003372887	1056,0000000000
92,3000000000	0,0007376033	0,0003337270	1044,0000000000
91,0000000000	0,0007441067	0,0003418558	1032,0000000000
89,9000000000	0,0007276477	0,0003403087	1020,0000000000
88,7000000000	0,0007197402	0,0003297800	1008,0000000000
87,5000000000	0,0007346156	0,0003260216	996,0000000000
86,2000000000	0,0007453736	0,0003357517	984,0000000000
85,1000000000	0,0007374344	0,0003424959	972,0000000000
83,9000000000	0,0007287351	0,0003392251	960,0000000000
82,6000000000	0,0007273204	0,0003410090	948,0000000000
81,4000000000	0,0007274154	0,0003416531	936,0000000000
80,2000000000	0,0007225062	0,0003446430	924,0000000000
79,0000000000	0,0007284817	0,0003507692	912,0000000000
77,8000000000	0,0007382895	0,0003488790	900,0000000000
76,6000000000	0,0007300442	0,0003369376	888,0000000000
75,4000000000	0,0007235409	0,0003366286	876,0000000000
74,2000000000	0,0007273837	0,0003335303	864,0000000000
72,9000000000	0,0007340983	0,0003320856	852,0000000000
71,8000000000	0,0007334120	0,0003451707	840,0000000000
70,5000000000	0,0007298014	0,0003413602	828,0000000000
69,3000000000	0,0007301076	0,0003330909	816,0000000000
68,1000000000	0,0007346261	0,0003418077	804,0000000000
66,9000000000	0,0007424492	0,0003436838	792,0000000000
65,7000000000	0,0007448140	0,0003408344	780,0000000000
64,4000000000	0,0007412773	0,0003442658	768,0000000000
